model_id,tissue,cancer_type
SIDM00724,Lung,Non-Small Cell Lung Carcinoma
SIDM00726,Lung,Non-Small Cell Lung Carcinoma
SIDM00727,Lung,Non-Small Cell Lung Carcinoma
SIDM00728,Lung,Non-Small Cell Lung Carcinoma
SIDM00729,Lung,Non-Small Cell Lung Carcinoma
SIDM00730,Lung,Small Cell Lung Carcinoma
SIDM00731,Lung,Small Cell Lung Carcinoma
SIDM00732,Central Nervous System,Glioblastoma
SIDM00733,Lung,Small Cell Lung Carcinoma
SIDM00734,Lung,Non-Small Cell Lung Carcinoma
SIDM00735,Lung,Small Cell Lung Carcinoma
SIDM00737,Lung,Non-Small Cell Lung Carcinoma
SIDM00738,Lung,Non-Small Cell Lung Carcinoma
SIDM00739,Lung,Non-Small Cell Lung Carcinoma
SIDM00740,Lung,Squamous Cell Lung Carcinoma
SIDM00741,Lung,Small Cell Lung Carcinoma
SIDM00742,Lung,Non-Small Cell Lung Carcinoma
SIDM00743,Lung,Non-Small Cell Lung Carcinoma
SIDM00744,Lung,Non-Small Cell Lung Carcinoma
SIDM00745,Lung,Non-Small Cell Lung Carcinoma
SIDM00746,Lung,Non-Small Cell Lung Carcinoma
SIDM00747,Lung,Non-Small Cell Lung Carcinoma
SIDM00748,Lung,Non-Small Cell Lung Carcinoma
SIDM00749,Lung,Non-Small Cell Lung Carcinoma
SIDM00750,Lung,Non-Small Cell Lung Carcinoma
SIDM00751,Lung,Non-Small Cell Lung Carcinoma
SIDM00753,Lung,Squamous Cell Lung Carcinoma
SIDM00754,Lung,Non-Small Cell Lung Carcinoma
SIDM00755,Lung,Non-Small Cell Lung Carcinoma
SIDM00756,Lung,Non-Small Cell Lung Carcinoma
SIDM00758,Lung,Non-Small Cell Lung Carcinoma
SIDM00759,Lung,Non-Small Cell Lung Carcinoma
SIDM00760,Lung,Small Cell Lung Carcinoma
SIDM00761,Lung,Small Cell Lung Carcinoma
SIDM00762,Lung,Non-Small Cell Lung Carcinoma
SIDM00763,Lung,Non-Small Cell Lung Carcinoma
SIDM00768,Lung,Non-Small Cell Lung Carcinoma
SIDM00769,Lung,Non-Small Cell Lung Carcinoma
SIDM00770,Lung,Small Cell Lung Carcinoma
SIDM00771,Lung,Non-Small Cell Lung Carcinoma
SIDM00772,Breast,Breast Carcinoma
SIDM00774,Breast,Breast Carcinoma
SIDM00776,Large Intestine,Colorectal Carcinoma
SIDM00777,Large Intestine,Colorectal Carcinoma
SIDM00778,Large Intestine,Colorectal Carcinoma
SIDM00779,Large Intestine,Colorectal Carcinoma
SIDM00781,Large Intestine,Colorectal Carcinoma
SIDM00782,Large Intestine,Colorectal Carcinoma
SIDM00783,Large Intestine,Colorectal Carcinoma
SIDM00785,Haematopoietic and Lymphoid,Acute Myeloid Leukemia
SIDM00789,Large Intestine,Colorectal Carcinoma
SIDM00791,Haematopoietic and Lymphoid,Chronic Myelogenous Leukemia
SIDM00792,Lung,Small Cell Lung Carcinoma
SIDM00793,Haematopoietic and Lymphoid,Burkitt's Lymphoma
SIDM00794,Skin,Other Solid Cancers
SIDM00795,Skin,Melanoma
SIDM00796,Head and Neck,Head and Neck Carcinoma
SIDM00797,Skin,Melanoma
SIDM00798,Soft Tissue,Rhabdomyosarcoma
SIDM00799,Central Nervous System,Glioblastoma
SIDM00801,Skin,Melanoma
SIDM00803,Kidney,Kidney Carcinoma
SIDM00806,Bone,Osteosarcoma
SIDM00807,Bladder,Bladder Carcinoma
SIDM00808,Haematopoietic and Lymphoid,Burkitt's Lymphoma
SIDM00810,Lung,Non-Small Cell Lung Carcinoma
SIDM00812,Large Intestine,Colorectal Carcinoma
SIDM00814,Adrenal Gland,Other Solid Cancers
SIDM00815,Ovary,Ovarian Carcinoma
SIDM00816,Kidney,Kidney Carcinoma
SIDM00817,Kidney,Kidney Carcinoma
SIDM00818,Kidney,Kidney Carcinoma
SIDM00819,Kidney,Kidney Carcinoma
SIDM00820,Kidney,Kidney Carcinoma
SIDM00821,Kidney,Kidney Carcinoma
SIDM00826,Large Intestine,Colorectal Carcinoma
SIDM00828,Soft Tissue,Other Sarcomas
SIDM00829,Haematopoietic and Lymphoid,Acute Myeloid Leukemia
SIDM00831,Head and Neck,Head and Neck Carcinoma
SIDM00832,Large Intestine,Colorectal Carcinoma
SIDM00833,Large Intestine,Colorectal Carcinoma
SIDM00834,Large Intestine,Colorectal Carcinoma
SIDM00835,Large Intestine,Colorectal Carcinoma
SIDM00837,Large Intestine,Colorectal Carcinoma
SIDM00839,Large Intestine,Colorectal Carcinoma
SIDM00841,Large Intestine,Colorectal Carcinoma
SIDM00842,Large Intestine,Colorectal Carcinoma
SIDM00844,Haematopoietic and Lymphoid,Burkitt's Lymphoma
SIDM00845,Haematopoietic and Lymphoid,Burkitt's Lymphoma
SIDM00846,Cervix,Cervical Carcinoma
SIDM00847,Soft Tissue,Rhabdomyosarcoma
SIDM00848,Bone,Ewing's Sarcoma
SIDM00849,Kidney,Kidney Carcinoma
SIDM00850,Stomach,Gastric Carcinoma
SIDM00852,Central Nervous System,Glioma
SIDM00853,Soft Tissue,Other Sarcomas
SIDM00854,Haematopoietic and Lymphoid,Burkitt's Lymphoma
SIDM00855,Soft Tissue,Other Sarcomas
SIDM00856,Kidney,Other Solid Cancers
SIDM00857,Skin,Melanoma
SIDM00859,Haematopoietic and Lymphoid,B-Cell Non-Hodgkin's Lymphoma
SIDM00860,Head and Neck,Head and Neck Carcinoma
SIDM00861,Ovary,Ovarian Carcinoma
SIDM00863,Haematopoietic and Lymphoid,Burkitt's Lymphoma
SIDM00864,Cervix,Cervical Carcinoma
SIDM00865,Lung,Small Cell Lung Carcinoma
SIDM00866,Breast,Breast Carcinoma
SIDM00867,Central Nervous System,Glioblastoma
SIDM00870,Breast,Breast Carcinoma
SIDM00872,Breast,Breast Carcinoma
SIDM00874,Breast,Breast Carcinoma
SIDM00875,Breast,Breast Carcinoma
SIDM00877,Breast,Breast Carcinoma
SIDM00878,Breast,Breast Carcinoma
SIDM00879,Breast,Breast Carcinoma
SIDM00881,Breast,Breast Carcinoma
SIDM00882,Breast,Breast Carcinoma
SIDM00884,Breast,Breast Carcinoma
SIDM00885,Breast,Breast Carcinoma
SIDM00886,Haematopoietic and Lymphoid,B-Cell Non-Hodgkin's Lymphoma
SIDM00887,Central Nervous System,Other Solid Cancers
SIDM00888,Central Nervous System,Other Solid Cancers
SIDM00889,Cervix,Cervical Carcinoma
SIDM00890,Skin,Melanoma
SIDM00892,Breast,Breast Carcinoma
SIDM00893,Breast,Breast Carcinoma
SIDM00895,Haematopoietic and Lymphoid,B-Cell Non-Hodgkin's Lymphoma
SIDM00896,Haematopoietic and Lymphoid,B-Cell Non-Hodgkin's Lymphoma
SIDM00898,Breast,Breast Carcinoma
SIDM00899,Pancreas,Pancreatic Carcinoma
SIDM00900,Haematopoietic and Lymphoid,Non-Cancerous
SIDM00901,Endometrium,Endometrial Carcinoma
SIDM00903,Lung,Non-Small Cell Lung Carcinoma
SIDM00905,Cervix,Cervical Carcinoma
SIDM00907,Haematopoietic and Lymphoid,Burkitt's Lymphoma
SIDM00909,Skin,Melanoma
SIDM00910,Peripheral Nervous System,Neuroblastoma
SIDM00918,Ovary,Ovarian Carcinoma
SIDM00919,Ovary,Ovarian Carcinoma
SIDM00920,Breast,Breast Carcinoma
SIDM00921,Lung,Non-Small Cell Lung Carcinoma
SIDM00922,Lung,Non-Small Cell Lung Carcinoma
SIDM00923,Cervix,Cervical Carcinoma
SIDM00924,Lung,Other Solid Cancers
SIDM00925,Lung,Non-Small Cell Lung Carcinoma
SIDM00926,Lung,Non-Small Cell Lung Carcinoma
SIDM00927,Lung,Small Cell Lung Carcinoma
SIDM00928,Breast,Breast Carcinoma
SIDM00929,Bone,Chondrosarcoma
SIDM00930,Bone,Osteosarcoma
SIDM00931,Thyroid,Thyroid Gland Carcinoma
SIDM00932,Kidney,Kidney Carcinoma
SIDM00933,Breast,Breast Carcinoma
SIDM00934,Pancreas,Pancreatic Carcinoma
SIDM00935,Vulva,Other Solid Cancers
SIDM00936,Bladder,Bladder Carcinoma
SIDM00937,Head and Neck,Oral Cavity Carcinoma
SIDM00938,Breast,Breast Carcinoma
SIDM00939,Lung,Non-Small Cell Lung Carcinoma
SIDM00941,Kidney,Kidney Carcinoma
SIDM00942,Head and Neck,Oral Cavity Carcinoma
SIDM00943,Pancreas,Pancreatic Carcinoma
SIDM00944,Large Intestine,Colorectal Carcinoma
SIDM00946,Haematopoietic and Lymphoid,T-Lymphoblastic Leukemia
SIDM00947,Central Nervous System,Glioblastoma
SIDM00948,Haematopoietic and Lymphoid,Burkitt's Lymphoma
SIDM00949,Haematopoietic and Lymphoid,T-Cell Non-Hodgkin's Lymphoma
SIDM00950,Pancreas,Pancreatic Carcinoma
SIDM00951,Haematopoietic and Lymphoid,T-Lymphoblastic Leukemia
SIDM00952,Haematopoietic and Lymphoid,B-Cell Non-Hodgkin's Lymphoma
SIDM00953,Lung,Small Cell Lung Carcinoma
SIDM00954,Breast,Breast Carcinoma
SIDM00955,Skin,Melanoma
SIDM00956,Esophagus,Esophageal Squamous Cell Carcinoma
SIDM00957,Large Intestine,Colorectal Carcinoma
SIDM00958,Haematopoietic and Lymphoid,Chronic Myelogenous Leukemia
SIDM00961,Bone,Ewing's Sarcoma
SIDM00962,Haematopoietic and Lymphoid,Chronic Myelogenous Leukemia
SIDM00963,Breast,Breast Carcinoma
SIDM00964,Prostate,Non-Cancerous
SIDM00965,Lung,Small Cell Lung Carcinoma
SIDM00966,Ovary,Ovarian Carcinoma
SIDM00967,Ovary,Ovarian Carcinoma
SIDM00968,Ovary,Ovarian Carcinoma
SIDM00969,Ovary,Ovarian Carcinoma
SIDM00970,Bladder,Bladder Carcinoma
SIDM00971,Breast,Breast Carcinoma
SIDM00973,Skin,Melanoma
SIDM00974,Skin,Melanoma
SIDM00975,Skin,Melanoma
SIDM00976,Skin,Melanoma
SIDM00980,Stomach,Gastric Carcinoma
SIDM00981,Haematopoietic and Lymphoid,B-Cell Non-Hodgkin's Lymphoma
SIDM00983,Bladder,Bladder Carcinoma
SIDM00984,Haematopoietic and Lymphoid,Other Blood Cancers
SIDM00985,Haematopoietic and Lymphoid,Burkitt's Lymphoma
SIDM00986,Head and Neck,Head and Neck Carcinoma
SIDM00987,Thyroid,Thyroid Gland Carcinoma
SIDM00988,Kidney,Kidney Carcinoma
SIDM00989,Bladder,Bladder Carcinoma
SIDM00990,Lung,Non-Small Cell Lung Carcinoma
SIDM00992,Thyroid,Thyroid Gland Carcinoma
SIDM00993,Haematopoietic and Lymphoid,Plasma Cell Myeloma
SIDM00994,Haematopoietic and Lymphoid,T-Lymphoblastic Leukemia
SIDM00995,Skin,Other Solid Cancers
SIDM00996,Thyroid,Thyroid Gland Carcinoma
SIDM00997,Thyroid,Thyroid Gland Carcinoma
SIDM00998,Central Nervous System,Glioblastoma
SIDM00999,Bladder,Bladder Carcinoma
SIDM01000,Skin,Melanoma
SIDM01001,Breast,Breast Carcinoma
SIDM01002,Breast,Breast Carcinoma
SIDM01003,Haematopoietic and Lymphoid,T-Lymphoblastic Leukemia
SIDM01004,Haematopoietic and Lymphoid,Chronic Myelogenous Leukemia
SIDM01005,Haematopoietic and Lymphoid,Acute Myeloid Leukemia
SIDM01006,Haematopoietic and Lymphoid,Plasma Cell Myeloma
SIDM01007,Haematopoietic and Lymphoid,T-Lymphoblastic Leukemia
SIDM01008,Haematopoietic and Lymphoid,B-Cell Non-Hodgkin's Lymphoma
SIDM01009,Peripheral Nervous System,Neuroblastoma
SIDM01010,Haematopoietic and Lymphoid,T-Cell Non-Hodgkin's Lymphoma
SIDM01011,Haematopoietic and Lymphoid,B-Cell Non-Hodgkin's Lymphoma
SIDM01012,Haematopoietic and Lymphoid,Other Blood Cancers
SIDM01015,Haematopoietic and Lymphoid,Chronic Myelogenous Leukemia
SIDM01016,Haematopoietic and Lymphoid,T-Lymphoblastic Leukemia
SIDM01017,Haematopoietic and Lymphoid,B-Lymphoblastic Leukemia
SIDM01018,Haematopoietic and Lymphoid,Hodgkin's Lymphoma
SIDM01019,Haematopoietic and Lymphoid,Acute Myeloid Leukemia
SIDM01020,Haematopoietic and Lymphoid,Plasma Cell Myeloma
SIDM01021,Central Nervous System,Glioblastoma
SIDM01023,Haematopoietic and Lymphoid,Acute Myeloid Leukemia
SIDM01024,Esophagus,Esophageal Squamous Cell Carcinoma
SIDM01025,Esophagus,Esophageal Squamous Cell Carcinoma
SIDM01026,Esophagus,Esophageal Squamous Cell Carcinoma
SIDM01027,Esophagus,Esophageal Squamous Cell Carcinoma
SIDM01028,Esophagus,Esophageal Squamous Cell Carcinoma
SIDM01029,Esophagus,Esophageal Squamous Cell Carcinoma
SIDM01030,Esophagus,Esophageal Squamous Cell Carcinoma
SIDM01031,Esophagus,Esophageal Squamous Cell Carcinoma
SIDM01032,Esophagus,Esophageal Squamous Cell Carcinoma
SIDM01033,Bladder,Bladder Carcinoma
SIDM01034,Haematopoietic and Lymphoid,B-Lymphoblastic Leukemia
SIDM01036,Haematopoietic and Lymphoid,Plasma Cell Myeloma
SIDM01037,Breast,Breast Carcinoma
SIDM01038,Haematopoietic and Lymphoid,B-Cell Non-Hodgkin's Lymphoma
SIDM01039,Placenta,Other Solid Cancers
SIDM01040,Ovary,Ovarian Carcinoma
SIDM01041,Esophagus,Esophageal Carcinoma
SIDM01042,Breast,Breast Carcinoma
SIDM01043,Endometrium,Other Sarcomas
SIDM01044,Lung,Other Solid Cancers
SIDM01045,Endometrium,Endometrial Carcinoma
SIDM01047,Haematopoietic and Lymphoid,Chronic Myelogenous Leukemia
SIDM01048,Haematopoietic and Lymphoid,Plasma Cell Myeloma
SIDM01051,Ovary,Ovarian Carcinoma
SIDM01052,Ovary,Ovarian Carcinoma
SIDM01055,Central Nervous System,Glioblastoma
SIDM01056,Breast,Breast Carcinoma
SIDM01057,Haematopoietic and Lymphoid,Acute Myeloid Leukemia
SIDM01058,Haematopoietic and Lymphoid,B-Cell Non-Hodgkin's Lymphoma
SIDM01059,Skin,Melanoma
SIDM01060,Skin,Melanoma
SIDM01062,Breast,Breast Carcinoma
SIDM01064,Haematopoietic and Lymphoid,Hodgkin's Lymphoma
SIDM01066,Skin,Melanoma
SIDM01067,Lung,Non-Small Cell Lung Carcinoma
SIDM01068,Lung,Non-Small Cell Lung Carcinoma
SIDM01069,Lung,Non-Small Cell Lung Carcinoma
SIDM01070,Lung,Non-Small Cell Lung Carcinoma
SIDM01071,Lung,Small Cell Lung Carcinoma
SIDM01072,Lung,Squamous Cell Lung Carcinoma
SIDM01073,Haematopoietic and Lymphoid,Other Blood Cancers
SIDM01076,Haematopoietic and Lymphoid,B-Lymphoblastic Leukemia
SIDM01077,Prostate,Prostate Carcinoma
SIDM01078,Lung,Small Cell Lung Carcinoma
SIDM01079,Skin,Melanoma
SIDM01080,Head and Neck,Oral Cavity Carcinoma
SIDM01081,Head and Neck,Oral Cavity Carcinoma
SIDM01082,Head and Neck,Oral Cavity Carcinoma
SIDM01083,Head and Neck,Oral Cavity Carcinoma
SIDM01084,Bone,Osteosarcoma
SIDM01085,Bladder,Bladder Carcinoma
SIDM01086,Haematopoietic and Lymphoid,B-Lymphoblastic Leukemia
SIDM01087,Skin,Melanoma
SIDM01088,Endometrium,Endometrial Carcinoma
SIDM01089,Haematopoietic and Lymphoid,B-Cell Non-Hodgkin's Lymphoma
SIDM01090,Large Intestine,Colorectal Carcinoma
SIDM01092,Haematopoietic and Lymphoid,B-Cell Non-Hodgkin's Lymphoma
SIDM01093,Cervix,Cervical Carcinoma
SIDM01095,Soft Tissue,Rhabdomyosarcoma
SIDM01096,Large Intestine,Colorectal Carcinoma
SIDM01097,Central Nervous System,Other Solid Cancers
SIDM01098,Peripheral Nervous System,Neuroblastoma
SIDM01099,Peripheral Nervous System,Neuroblastoma
SIDM01100,Peripheral Nervous System,Neuroblastoma
SIDM01101,Peripheral Nervous System,Neuroblastoma
SIDM01102,Haematopoietic and Lymphoid,Non-Cancerous
SIDM01103,Lung,Squamous Cell Lung Carcinoma
SIDM01104,Skin,Melanoma
SIDM01105,Skin,Melanoma
SIDM01106,Skin,Melanoma
SIDM01107,Skin,Melanoma
SIDM01108,Lung,Non-Small Cell Lung Carcinoma
SIDM01109,Soft Tissue,Other Sarcomas
SIDM01110,Liver,Hepatocellular Carcinoma
SIDM01111,Bone,Ewing's Sarcoma
SIDM01112,Bone,Osteosarcoma
SIDM01113,Uterus,Other Sarcomas
SIDM01116,Lung,Non-Small Cell Lung Carcinoma
SIDM01117,Lung,Small Cell Lung Carcinoma
SIDM01118,Lung,Small Cell Lung Carcinoma
SIDM01119,Lung,Other Solid Cancers
SIDM01120,Lung,Other Solid Cancers
SIDM01121,Lung,Small Cell Lung Carcinoma
SIDM01122,Lung,Non-Small Cell Lung Carcinoma
SIDM01123,Prostate,Prostate Carcinoma
SIDM01124,Lung,Non-Small Cell Lung Carcinoma
SIDM01125,Lung,Non-Small Cell Lung Carcinoma
SIDM01126,Lung,Small Cell Lung Carcinoma
SIDM01127,Lung,Non-Small Cell Lung Carcinoma
SIDM01128,Lung,Small Cell Lung Carcinoma
SIDM01129,Lung,Small Cell Lung Carcinoma
SIDM01130,Lung,Squamous Cell Lung Carcinoma
SIDM01131,Lung,Small Cell Lung Carcinoma
SIDM01132,Central Nervous System,Other Solid Cancers
SIDM01133,Lung,Other Solid Cancers
SIDM01134,Lung,Small Cell Lung Carcinoma
SIDM01135,Pancreas,Pancreatic Carcinoma
SIDM01136,Pancreas,Pancreatic Carcinoma
SIDM01137,Pancreas,Pancreatic Carcinoma
SIDM01138,Pancreas,Pancreatic Carcinoma
SIDM01139,Pancreas,Pancreatic Carcinoma
SIDM01140,Ovary,Ovarian Carcinoma
SIDM01141,Ovary,Ovarian Carcinoma
SIDM01144,Stomach,Gastric Carcinoma
SIDM01145,Stomach,Gastric Carcinoma
SIDM01146,Stomach,Gastric Carcinoma
SIDM01147,Stomach,Gastric Carcinoma
SIDM01148,Haematopoietic and Lymphoid,Plasma Cell Myeloma
SIDM01149,Lung,Small Cell Lung Carcinoma
SIDM01150,Lung,Non-Small Cell Lung Carcinoma
SIDM01154,Haematopoietic and Lymphoid,T-Lymphoblastic Leukemia
SIDM01155,Central Nervous System,Glioma
SIDM01156,Lung,Small Cell Lung Carcinoma
SIDM01157,Vulva,Other Solid Cancers
SIDM01159,Soft Tissue,Other Sarcomas
SIDM01160,Bladder,Bladder Carcinoma
SIDM01161,Soft Tissue,Other Sarcomas
SIDM01162,Kidney,Kidney Carcinoma
SIDM01163,Lung,Non-Small Cell Lung Carcinoma
SIDM01164,Central Nervous System,Glioma
SIDM01165,Pancreas,Pancreatic Carcinoma
SIDM01168,Large Intestine,Colorectal Carcinoma
SIDM01169,Ovary,Ovarian Carcinoma
SIDM01170,Ovary,Ovarian Carcinoma
SIDM01171,Central Nervous System,Glioblastoma
SIDM01172,Haematopoietic and Lymphoid,Acute Myeloid Leukemia
SIDM01173,Soft Tissue,Rhabdomyosarcoma
SIDM01174,Cervix,Cervical Carcinoma
SIDM01175,Soft Tissue,Other Sarcomas
SIDM01176,Haematopoietic and Lymphoid,B-Lymphoblastic Leukemia
SIDM01177,Haematopoietic and Lymphoid,B-Lymphoblastic Leukemia
SIDM01178,Vulva,Other Solid Cancers
SIDM01179,Soft Tissue,Other Sarcomas
SIDM01180,Liver,Hepatocellular Carcinoma
SIDM01181,Liver,Hepatocellular Carcinoma
SIDM01182,Bladder,Bladder Carcinoma
SIDM01183,Lung,Other Solid Cancers
SIDM01184,Bladder,Bladder Carcinoma
SIDM01185,Bone,Other Solid Cancers
SIDM01186,Breast,Breast Carcinoma
SIDM01187,Breast,Breast Carcinoma
SIDM01188,Pancreas,Pancreatic Carcinoma
SIDM01189,Central Nervous System,Glioblastoma
SIDM01190,Bladder,Bladder Carcinoma
SIDM01191,Bone,Osteosarcoma
SIDM01193,Central Nervous System,Glioma
SIDM01194,Liver,Hepatocellular Carcinoma
SIDM01197,Large Intestine,Colorectal Carcinoma
SIDM01198,Haematopoietic and Lymphoid,Burkitt's Lymphoma
SIDM01199,Liver,Hepatocellular Carcinoma
SIDM01201,Haematopoietic and Lymphoid,Other Blood Cancers
SIDM01205,Haematopoietic and Lymphoid,Acute Myeloid Leukemia
SIDM01206,Peripheral Nervous System,Neuroblastoma
SIDM01210,Central Nervous System,Glioblastoma
SIDM01217,Haematopoietic and Lymphoid,Other Blood Cancers
SIDM01218,Placenta,Other Solid Cancers
SIDM01219,Lung,Non-Small Cell Lung Carcinoma
SIDM01220,Central Nervous System,Glioma
SIDM01228,Skin,Melanoma
SIDM01229,Peripheral Nervous System,Neuroblastoma
SIDM01233,Large Intestine,Colorectal Carcinoma
SIDM01237,Liver,Hepatocellular Carcinoma
SIDM01240,Skin,Melanoma
SIDM01242,Skin,Melanoma
SIDM01245,Haematopoietic and Lymphoid,T-Lymphoblastic Leukemia
SIDM01246,Bone,Ewing's Sarcoma
SIDM01247,Haematopoietic and Lymphoid,Burkitt's Lymphoma
SIDM01248,Thyroid,Thyroid Gland Carcinoma
SIDM01251,Haematopoietic and Lymphoid,T-Cell Non-Hodgkin's Lymphoma
SIDM01259,Haematopoietic and Lymphoid,B-Lymphoblastic Leukemia
SIDM01261,Breast,Breast Carcinoma
SIDM01265,Haematopoietic and Lymphoid,Plasma Cell Myeloma
