"","ACVR2A","AJUBA","APC","ARHGAP35","ARHGAP5","ARHGEF12","ARID1A","ARID1B","ATM","ATR","AXIN1","AXIN2","B2M","BAX","BIRC6","BMPR2","BRAF","BRCA1","BRCA2","BRIP1","CACNA1D","CARD11","CASP8","CBLC","CDH1","CDKN2A","CHD4","CIC","CIITA","CLIP1","CLTC","CLTCL1","CR1","CREBBP","CTNNB1","DAZAP1","DCC","DDX3X","DOT1L","EGFR","EP300","EPHA2","EPHA3","EPHA7","ERBB2","ERBB3","ERBB4","FANCA","FAT4","FBXW7","FES","FGFR4","FLCN","FLT4","FN1","GNA13","GRIN2A","HERC2","HLA-A","HLA-B","HSPG2","IRS4","JAK1","JAK3","KDM6A","KEAP1","KMT2A","KRAS","LATS1","LATS2","MAP2K1","MAP2K4","MAP2K7","MAP3K13","MED12","MET","MLH1","MSH2","MSH6","MUTYH","MYC","MYH9","NBN","NCOR1","NCOR2","NF1","NF2","NFE2L2","NOTCH1","NOTCH2","NRAS","NTRK1","PABPC1","PARP4","PIK3CA","PIK3CB","PIK3R1","PML","PMS2","POLD1","POLE","PPM1D","PRKD2","PTCH1","PTEN","PTPN11","PTPN13","PTPN6","PTPRB","PTPRC","RASA1","RASA2","RB1","RHOA","RNF43","SDHA","SMAD4","SMARCA4","SMARCB1","SOX9","STAG2","STAT3","STAT5B","STK11","TAF15","TGFBR2","TNFAIP3","TP53","TSC1","TSC2","UBR5","USP8","VHL","ZEB1","ZFHX3"
"NTRK1",0,0,0,0,0,0,0,0,0.25,0,0,0,0,0.265165042944955,0.25,0,0.144337567297406,0.176776695296637,0,0,0.138675049056307,0,0.0857492925712544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.353553390593274,0.288675134594813,0,0.474341649025257,0,0,0.353553390593274,0.474341649025257,0.474341649025257,0,0,0,0,0.5,0,0.577350269189626,0.133630620956212,0,0.204124145231932,0,0,0,0,0,0.0912870929175277,0.106600358177805,0.353553390593274,0,0.353553390593274,0.242821465589316,0,0,0.232119172721315,0.117851130197758,0.188982236504614,0.353553390593274,0,0.510310363079829,0,0,0,0,0.265165042944955,0,0,0.25,0,0.5,0,0,0,0,0.247536885744169,0,0,0.25,0.228217732293819,0.228217732293819,0.228217732293819,0.176776695296637,0,0,0,0,0,0,0.106600358177805,0.21320071635561,0.353553390593274,0,0,0,0.408248290463863,0.408248290463863,0,0.129099444873581,0,0,0,0,0,0,0,0,0,0.125,0.25,0.188982236504614,0,0.395284707521047,0.117851130197758,0.106600358177805,0,0,0,0.353553390593274,0
"PABPC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.707106781186547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PARP4",0,0,0,0,0,0,0,0,0.25,0,0,0,0,0.176776695296637,0.5,0,0,0,0,0,0,0,0.171498585142509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0971285862357264,0,0,0.0928476690885259,0,0,0,0,0,0,0,0,0.707106781186547,0,0,0,0,0,0,0,0,0,0,0.0990147542976674,0.25,0,0,0.0912870929175277,0.0912870929175277,0.0912870929175277,0,0,0.316227766016838,0.408248290463863,0,0,0,0,0,0.707106781186547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.158113883008419,0,0,0,0,0,0,0
"PIK3CA",0.074535599249993,0,0.115470053837925,0.258198889747161,0.182574185835055,0.263523138347365,0,0,0.136930639376292,0.0645497224367903,0.0645497224367903,0.0645497224367903,0,0.355023473402347,0.0912870929175277,0.115470053837925,0.421637021355784,0.0645497224367903,0,0,0.15191090506255,0.149071198499986,0.281800930988317,0,0.105409255338946,0.173205080756888,0.129099444873581,0.129099444873581,0.0645497224367903,0.129099444873581,0.0577350269189626,0.0577350269189626,0.052704627669473,0.281800930988317,0.286445949615773,0,0.129099444873581,0.149071198499986,0,0.421637021355784,0.281800930988317,0.23094010767585,0.129099444873581,0.129099444873581,0.215165741455968,0.173205080756888,0.173205080756888,0,0,0,0.129099444873581,0.228217732293819,0.129099444873581,0.210818510677892,0.29277002188456,0.172132593164774,0.149071198499986,0,0.14638501094228,0.14638501094228,0.149071198499986,0.301232038038355,0.3,0.272474630456533,0,0,0,0.709326902131909,0,0,0.728918266392371,0.301232038038355,0.310529501704059,0,0.129099444873581,0.260874597374975,0,0,0,0,0.322748612183951,0.074535599249993,0.0912870929175277,0.0912870929175277,0,0.0912870929175277,0,0,0.074535599249993,0.129099444873581,0.686946449759078,0.228217732293819,0,0.0912870929175277,0,1,1,0.0645497224367903,0,0,0,0,0.0912870929175277,0.193649167310371,0.389249472080761,0.389249472080761,0.129099444873581,0.243975018237133,0,0.129099444873581,0.149071198499986,0.149071198499986,0.29277002188456,0.424264068711929,0,0,0.155699788832305,0,0,0.129099444873581,0,0.444261658319319,0.358057437019716,0.273861278752583,0,0.207019667802706,0.105409255338946,0.375277674973257,0.344265186329548,0.350324524872685,0,0,0.0912870929175277,0,0.129099444873581
"PIK3CB",0.074535599249993,0,0.115470053837925,0.258198889747161,0.182574185835055,0.263523138347365,0,0,0.136930639376292,0.0645497224367903,0.0645497224367903,0.0645497224367903,0,0.355023473402347,0.0912870929175277,0.115470053837925,0.421637021355784,0.0645497224367903,0,0,0.15191090506255,0.149071198499986,0.281800930988317,0,0.105409255338946,0.173205080756888,0.129099444873581,0.129099444873581,0.0645497224367903,0.129099444873581,0.0577350269189626,0.0577350269189626,0.052704627669473,0.281800930988317,0.286445949615773,0,0.129099444873581,0.149071198499986,0,0.421637021355784,0.281800930988317,0.23094010767585,0.129099444873581,0.129099444873581,0.215165741455968,0.173205080756888,0.173205080756888,0,0,0,0.129099444873581,0.228217732293819,0.129099444873581,0.210818510677892,0.29277002188456,0.172132593164774,0.149071198499986,0,0.14638501094228,0.14638501094228,0.149071198499986,0.301232038038355,0.3,0.272474630456533,0,0,0,0.709326902131909,0,0,0.728918266392371,0.301232038038355,0.310529501704059,0,0.129099444873581,0.260874597374975,0,0,0,0,0.322748612183951,0.074535599249993,0.0912870929175277,0.0912870929175277,0,0.0912870929175277,0,0,0.074535599249993,0.129099444873581,0.686946449759078,0.228217732293819,0,0.0912870929175277,1,0,1,0.0645497224367903,0,0,0,0,0.0912870929175277,0.193649167310371,0.389249472080761,0.389249472080761,0.129099444873581,0.243975018237133,0,0.129099444873581,0.149071198499986,0.149071198499986,0.29277002188456,0.424264068711929,0,0,0.155699788832305,0,0,0.129099444873581,0,0.444261658319319,0.358057437019716,0.273861278752583,0,0.207019667802706,0.105409255338946,0.375277674973257,0.344265186329548,0.350324524872685,0,0,0.0912870929175277,0,0.129099444873581
"PIK3R1",0.074535599249993,0,0.115470053837925,0.258198889747161,0.182574185835055,0.263523138347365,0,0,0.136930639376292,0.0645497224367903,0.0645497224367903,0.0645497224367903,0,0.355023473402347,0.0912870929175277,0.115470053837925,0.421637021355784,0.0645497224367903,0,0,0.15191090506255,0.149071198499986,0.281800930988317,0,0.105409255338946,0.173205080756888,0.129099444873581,0.129099444873581,0.0645497224367903,0.129099444873581,0.0577350269189626,0.0577350269189626,0.052704627669473,0.281800930988317,0.286445949615773,0,0.129099444873581,0.149071198499986,0,0.421637021355784,0.281800930988317,0.23094010767585,0.129099444873581,0.129099444873581,0.215165741455968,0.173205080756888,0.173205080756888,0,0,0,0.129099444873581,0.228217732293819,0.129099444873581,0.210818510677892,0.29277002188456,0.172132593164774,0.149071198499986,0,0.14638501094228,0.14638501094228,0.149071198499986,0.301232038038355,0.3,0.272474630456533,0,0,0,0.709326902131909,0,0,0.728918266392371,0.301232038038355,0.310529501704059,0,0.129099444873581,0.260874597374975,0,0,0,0,0.322748612183951,0.074535599249993,0.0912870929175277,0.0912870929175277,0,0.0912870929175277,0,0,0.074535599249993,0.129099444873581,0.686946449759078,0.228217732293819,0,0.0912870929175277,1,1,0,0.0645497224367903,0,0,0,0,0.0912870929175277,0.193649167310371,0.389249472080761,0.389249472080761,0.129099444873581,0.243975018237133,0,0.129099444873581,0.149071198499986,0.149071198499986,0.29277002188456,0.424264068711929,0,0,0.155699788832305,0,0,0.129099444873581,0,0.444261658319319,0.358057437019716,0.273861278752583,0,0.207019667802706,0.105409255338946,0.375277674973257,0.344265186329548,0.350324524872685,0,0,0.0912870929175277,0,0.129099444873581
"PML",0,0,0,0,0,0,0,0,0.176776695296637,0,0,0,0,0.25,0.353553390593274,0,0,0.25,0,0,0,0,0.121267812518166,0.707106781186547,0,0,0,0,0.25,0,0.223606797749979,0.223606797749979,0,0.121267812518166,0,0,0,0,0.5,0.102062072615966,0.121267812518166,0,0,0,0,0,0,0,0,0.5,0,0.176776695296637,0,0,0,0,0,0.5,0.188982236504614,0.188982236504614,0,0,0.129099444873581,0,0.5,0.5,0.5,0,0,0,0.0656532164298613,0,0,0,0,0.144337567297406,0,0,0,0,0.125,0,0,0.353553390593274,0,0,0,0,0,0,0,0.176776695296637,0,0,0.0645497224367903,0.0645497224367903,0.0645497224367903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0912870929175277,0,0,0,0,0,0,0,0,0,0,0.353553390593274,0.267261241912424,0,0.111803398874989,0,0,0.5,0.353553390593274,0.353553390593274,0.5,0
"PMS2",0,0,0,0,0,0,0,0,0,0.353553390593274,0,0,0,0,0,0,0,0.353553390593274,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.707106781186547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.707106781186547,0.707106781186547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.316227766016838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"POLD1",0,0,0,0,0,0,0,0,0.158113883008419,0,0,0,0,0,0,0,0,0.223606797749979,0.316227766016838,0.316227766016838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.316227766016838,0.447213595499958,0.447213595499958,0.447213595499958,0,0,0.316227766016838,0,0,0,0,0,0,0,0,0,0,0.316227766016838,0,0,0,0,0.316227766016838,0,0.774596669241483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"POLE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.577350269189626,0,0,0,0,0,0,0,0,0,0,0,0,0,0.408248290463863,0,0,0,0,0,0.774596669241483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
