pathway,gene_symbol
Signaling pathways regulating pluripotency of stem cells,AXIN1
Signaling pathways regulating pluripotency of stem cells,AXIN2
Signaling pathways regulating pluripotency of stem cells,BMPR2
Signaling pathways regulating pluripotency of stem cells,CTNNB1
Signaling pathways regulating pluripotency of stem cells,FGFR4
Signaling pathways regulating pluripotency of stem cells,JAK1
Signaling pathways regulating pluripotency of stem cells,JAK3
Signaling pathways regulating pluripotency of stem cells,KRAS
Signaling pathways regulating pluripotency of stem cells,MAP2K1
Signaling pathways regulating pluripotency of stem cells,MYC
Signaling pathways regulating pluripotency of stem cells,NRAS
Signaling pathways regulating pluripotency of stem cells,PIK3CA
Signaling pathways regulating pluripotency of stem cells,PIK3CB
Signaling pathways regulating pluripotency of stem cells,PIK3R1
Signaling pathways regulating pluripotency of stem cells,SMAD4
Signaling pathways regulating pluripotency of stem cells,STAT3
Signaling pathways regulating pluripotency of stem cells,ZFHX3
Sphingolipid signaling pathway,BAX
Sphingolipid signaling pathway,GNA13
Sphingolipid signaling pathway,KRAS
Sphingolipid signaling pathway,MAP2K1
Sphingolipid signaling pathway,NRAS
Sphingolipid signaling pathway,PIK3CA
Sphingolipid signaling pathway,PIK3CB
Sphingolipid signaling pathway,PIK3R1
Sphingolipid signaling pathway,PTEN
Sphingolipid signaling pathway,RHOA
Sphingolipid signaling pathway,TP53
Spinocerebellar ataxia,CIC
Spinocerebellar ataxia,GRIN2A
Spinocerebellar ataxia,PIK3CA
Spinocerebellar ataxia,PIK3CB
Spinocerebellar ataxia,PIK3R1
Synaptic vesicle cycle,CLTC
Synaptic vesicle cycle,CLTCL1
T cell receptor signaling pathway,CARD11
T cell receptor signaling pathway,KRAS
T cell receptor signaling pathway,MAP2K1
T cell receptor signaling pathway,MAP2K7
T cell receptor signaling pathway,NRAS
T cell receptor signaling pathway,PIK3CA
T cell receptor signaling pathway,PIK3CB
T cell receptor signaling pathway,PIK3R1
T cell receptor signaling pathway,PTPN6
T cell receptor signaling pathway,PTPRC
T cell receptor signaling pathway,RHOA
TGF-beta signaling pathway,ACVR2A
TGF-beta signaling pathway,BMPR2
TGF-beta signaling pathway,CREBBP
TGF-beta signaling pathway,EP300
TGF-beta signaling pathway,MYC
TGF-beta signaling pathway,RHOA
TGF-beta signaling pathway,SMAD4
TGF-beta signaling pathway,TGFBR2
TNF signaling pathway,CASP8
TNF signaling pathway,MAP2K1
TNF signaling pathway,MAP2K4
TNF signaling pathway,MAP2K7
TNF signaling pathway,PIK3CA
TNF signaling pathway,PIK3CB
TNF signaling pathway,PIK3R1
TNF signaling pathway,TNFAIP3
Th1 and Th2 cell differentiation,JAK1
Th1 and Th2 cell differentiation,JAK3
Th1 and Th2 cell differentiation,NOTCH1
Th1 and Th2 cell differentiation,NOTCH2
Th1 and Th2 cell differentiation,STAT5B
Th17 cell differentiation,JAK1
Th17 cell differentiation,JAK3
Th17 cell differentiation,SMAD4
Th17 cell differentiation,STAT3
Th17 cell differentiation,STAT5B
Th17 cell differentiation,TGFBR2
Thermogenesis,ARID1A
Thermogenesis,ARID1B
Thermogenesis,KRAS
Thermogenesis,NRAS
Thermogenesis,SDHA
Thermogenesis,SMARCA4
Thermogenesis,SMARCB1
Thermogenesis,TSC1
Thermogenesis,TSC2
Thyroid hormone signaling pathway,CREBBP
Thyroid hormone signaling pathway,CTNNB1
Thyroid hormone signaling pathway,EP300
Thyroid hormone signaling pathway,KRAS
Thyroid hormone signaling pathway,MAP2K1
Thyroid hormone signaling pathway,MED12
Thyroid hormone signaling pathway,MYC
Thyroid hormone signaling pathway,NCOR1
Thyroid hormone signaling pathway,NOTCH1
Thyroid hormone signaling pathway,NOTCH2
Thyroid hormone signaling pathway,NRAS
Thyroid hormone signaling pathway,PIK3CA
Thyroid hormone signaling pathway,PIK3CB
Thyroid hormone signaling pathway,PIK3R1
Thyroid hormone signaling pathway,TP53
Thyroid hormone signaling pathway,TSC2
Tight junction,CACNA1D
Tight junction,ERBB2
Tight junction,MAP2K7
Tight junction,MYH9
Tight junction,NF2
Tight junction,RHOA
Tight junction,STK11
Toll-like receptor signaling pathway,CASP8
Toll-like receptor signaling pathway,MAP2K1
Toll-like receptor signaling pathway,MAP2K4
Toll-like receptor signaling pathway,MAP2K7
Toll-like receptor signaling pathway,PIK3CA
Toll-like receptor signaling pathway,PIK3CB
Toll-like receptor signaling pathway,PIK3R1
Toxoplasmosis,CASP8
Toxoplasmosis,CIITA
Toxoplasmosis,JAK1
Toxoplasmosis,STAT3
Transcriptional misregulation in cancer,ATM
Transcriptional misregulation in cancer,BAX
Transcriptional misregulation in cancer,DOT1L
Transcriptional misregulation in cancer,KDM6A
Transcriptional misregulation in cancer,KMT2A
Transcriptional misregulation in cancer,MET
Transcriptional misregulation in cancer,MYC
Transcriptional misregulation in cancer,NCOR1
Transcriptional misregulation in cancer,NTRK1
Transcriptional misregulation in cancer,PML
Transcriptional misregulation in cancer,TAF15
Transcriptional misregulation in cancer,TGFBR2
Transcriptional misregulation in cancer,TP53
Transcriptional misregulation in cancer,ZEB1
Ubiquitin mediated proteolysis,BIRC6
Ubiquitin mediated proteolysis,BRCA1
Ubiquitin mediated proteolysis,CBLC
Ubiquitin mediated proteolysis,FBXW7
Ubiquitin mediated proteolysis,HERC2
Ubiquitin mediated proteolysis,KEAP1
Ubiquitin mediated proteolysis,PML
Ubiquitin mediated proteolysis,UBR5
Ubiquitin mediated proteolysis,VHL
VEGF signaling pathway,KRAS
VEGF signaling pathway,MAP2K1
VEGF signaling pathway,NRAS
VEGF signaling pathway,PIK3CA
VEGF signaling pathway,PIK3CB
VEGF signaling pathway,PIK3R1
Vascular smooth muscle contraction,ARHGEF12
Vascular smooth muscle contraction,BRAF
Vascular smooth muscle contraction,CACNA1D
Vascular smooth muscle contraction,GNA13
Vascular smooth muscle contraction,MAP2K1
Vascular smooth muscle contraction,MYH9
Vascular smooth muscle contraction,RHOA
Viral carcinogenesis,BAX
Viral carcinogenesis,CASP8
Viral carcinogenesis,CDKN2A
Viral carcinogenesis,CHD4
Viral carcinogenesis,CREBBP
Viral carcinogenesis,DDX3X
Viral carcinogenesis,EP300
Viral carcinogenesis,HLA-A
Viral carcinogenesis,HLA-B
Viral carcinogenesis,JAK1
Viral carcinogenesis,JAK3
Viral carcinogenesis,KRAS
Viral carcinogenesis,NRAS
Viral carcinogenesis,PIK3CA
Viral carcinogenesis,PIK3CB
Viral carcinogenesis,PIK3R1
Viral carcinogenesis,RASA2
Viral carcinogenesis,RB1
Viral carcinogenesis,RHOA
Viral carcinogenesis,STAT3
Viral carcinogenesis,STAT5B
Viral carcinogenesis,TP53
Wnt signaling pathway,APC
Wnt signaling pathway,AXIN1
Wnt signaling pathway,AXIN2
Wnt signaling pathway,CREBBP
Wnt signaling pathway,CTNNB1
Wnt signaling pathway,EP300
Wnt signaling pathway,MYC
Wnt signaling pathway,RHOA
Wnt signaling pathway,RNF43
Wnt signaling pathway,SMAD4
Wnt signaling pathway,TP53
cAMP signaling pathway,BRAF
cAMP signaling pathway,CACNA1D
cAMP signaling pathway,CREBBP
cAMP signaling pathway,EP300
cAMP signaling pathway,GRIN2A
cAMP signaling pathway,MAP2K1
cAMP signaling pathway,PIK3CA
cAMP signaling pathway,PIK3CB
cAMP signaling pathway,PIK3R1
cAMP signaling pathway,PTCH1
cAMP signaling pathway,RHOA
cAMP signaling pathway,SOX9
cGMP-PKG signaling pathway,CACNA1D
cGMP-PKG signaling pathway,GNA13
cGMP-PKG signaling pathway,IRS4
cGMP-PKG signaling pathway,MAP2K1
cGMP-PKG signaling pathway,RHOA
mRNA surveillance pathway,DAZAP1
mRNA surveillance pathway,PABPC1
mTOR signaling pathway,BRAF
mTOR signaling pathway,CLIP1
mTOR signaling pathway,FLCN
mTOR signaling pathway,KRAS
mTOR signaling pathway,MAP2K1
mTOR signaling pathway,NRAS
mTOR signaling pathway,PIK3CA
mTOR signaling pathway,PIK3CB
mTOR signaling pathway,PIK3R1
mTOR signaling pathway,PTEN
mTOR signaling pathway,RHOA
mTOR signaling pathway,STK11
mTOR signaling pathway,TSC1
mTOR signaling pathway,TSC2
p53 signaling pathway,ATM
p53 signaling pathway,ATR
p53 signaling pathway,BAX
p53 signaling pathway,CASP8
p53 signaling pathway,CDKN2A
p53 signaling pathway,PPM1D
p53 signaling pathway,PTEN
p53 signaling pathway,TP53
p53 signaling pathway,TSC2
