pathway,gene_symbol
Chemokine signaling pathway,PIK3CA
Chemokine signaling pathway,PIK3CB
Chemokine signaling pathway,PIK3R1
Chemokine signaling pathway,RHOA
Chemokine signaling pathway,STAT3
Chemokine signaling pathway,STAT5B
Cholinergic synapse,CACNA1D
Cholinergic synapse,KRAS
Cholinergic synapse,MAP2K1
Cholinergic synapse,NRAS
Cholinergic synapse,PIK3CA
Cholinergic synapse,PIK3CB
Cholinergic synapse,PIK3R1
Circadian entrainment,CACNA1D
Circadian entrainment,GRIN2A
Complement and coagulation cascades,CR1
Cortisol synthesis and secretion,CACNA1D
Cytokine-cytokine receptor interaction,ACVR2A
Cytokine-cytokine receptor interaction,BMPR2
Cytokine-cytokine receptor interaction,TGFBR2
DNA replication,POLD1
DNA replication,POLE
Dopaminergic synapse,CACNA1D
Dopaminergic synapse,GRIN2A
ECM-receptor interaction,FN1
ECM-receptor interaction,HSPG2
Endocrine and other factor-regulated calcium reabsorption,CLTC
Endocrine and other factor-regulated calcium reabsorption,CLTCL1
Endocytosis,CBLC
Endocytosis,CLTC
Endocytosis,CLTCL1
Endocytosis,EGFR
Endocytosis,FGFR4
Endocytosis,HLA-A
Endocytosis,HLA-B
Endocytosis,PML
Endocytosis,RHOA
Endocytosis,TGFBR2
Endocytosis,USP8
ErbB signaling pathway,BRAF
ErbB signaling pathway,EGFR
ErbB signaling pathway,ERBB2
ErbB signaling pathway,ERBB3
ErbB signaling pathway,ERBB4
ErbB signaling pathway,KRAS
ErbB signaling pathway,MAP2K1
ErbB signaling pathway,MAP2K4
ErbB signaling pathway,MAP2K7
ErbB signaling pathway,MYC
ErbB signaling pathway,NRAS
ErbB signaling pathway,PIK3CA
ErbB signaling pathway,PIK3CB
ErbB signaling pathway,PIK3R1
ErbB signaling pathway,STAT5B
Estrogen signaling pathway,EGFR
Estrogen signaling pathway,KRAS
Estrogen signaling pathway,MAP2K1
Estrogen signaling pathway,NRAS
Estrogen signaling pathway,PIK3CA
Estrogen signaling pathway,PIK3CB
Estrogen signaling pathway,PIK3R1
Fanconi anemia pathway,ATR
Fanconi anemia pathway,BRCA1
Fanconi anemia pathway,BRCA2
Fanconi anemia pathway,BRIP1
Fanconi anemia pathway,FANCA
Fanconi anemia pathway,MLH1
Fanconi anemia pathway,PMS2
Fc epsilon RI signaling pathway,KRAS
Fc epsilon RI signaling pathway,MAP2K1
Fc epsilon RI signaling pathway,MAP2K4
Fc epsilon RI signaling pathway,MAP2K7
Fc epsilon RI signaling pathway,NRAS
Fc epsilon RI signaling pathway,PIK3CA
Fc epsilon RI signaling pathway,PIK3CB
Fc epsilon RI signaling pathway,PIK3R1
Fc gamma R-mediated phagocytosis,MAP2K1
Fc gamma R-mediated phagocytosis,PIK3CA
Fc gamma R-mediated phagocytosis,PIK3CB
Fc gamma R-mediated phagocytosis,PIK3R1
Fc gamma R-mediated phagocytosis,PTPRC
Ferroptosis,TP53
Focal adhesion,ARHGAP35
Focal adhesion,ARHGAP5
Focal adhesion,BRAF
Focal adhesion,CTNNB1
Focal adhesion,EGFR
Focal adhesion,ERBB2
Focal adhesion,FLT4
Focal adhesion,FN1
Focal adhesion,MAP2K1
Focal adhesion,MET
Focal adhesion,PIK3CA
Focal adhesion,PIK3CB
Focal adhesion,PIK3R1
Focal adhesion,PTEN
Focal adhesion,RHOA
FoxO signaling pathway,ATM
FoxO signaling pathway,BRAF
FoxO signaling pathway,CREBBP
FoxO signaling pathway,EGFR
FoxO signaling pathway,EP300
FoxO signaling pathway,IRS4
FoxO signaling pathway,KRAS
FoxO signaling pathway,MAP2K1
FoxO signaling pathway,NRAS
FoxO signaling pathway,PIK3CA
FoxO signaling pathway,PIK3CB
FoxO signaling pathway,PIK3R1
FoxO signaling pathway,PTEN
FoxO signaling pathway,SMAD4
FoxO signaling pathway,STAT3
FoxO signaling pathway,STK11
FoxO signaling pathway,TGFBR2
GABAergic synapse,CACNA1D
Gap junction,EGFR
Gap junction,KRAS
Gap junction,MAP2K1
Gap junction,NRAS
Glioma,BAX
Glioma,BRAF
Glioma,CDKN2A
Glioma,EGFR
Glioma,KRAS
Glioma,MAP2K1
Glioma,NRAS
Glioma,PIK3CA
Glioma,PIK3CB
Glioma,PIK3R1
Glioma,PTEN
Glioma,RB1
Glioma,TP53
Glucagon signaling pathway,CREBBP
Glucagon signaling pathway,EP300
Glutamatergic synapse,CACNA1D
Glutamatergic synapse,GRIN2A
GnRH secretion,CACNA1D
GnRH secretion,KRAS
GnRH secretion,MAP2K1
GnRH secretion,NRAS
GnRH secretion,PIK3CA
GnRH secretion,PIK3CB
GnRH secretion,PIK3R1
GnRH signaling pathway,CACNA1D
GnRH signaling pathway,EGFR
GnRH signaling pathway,KRAS
GnRH signaling pathway,MAP2K1
GnRH signaling pathway,MAP2K4
GnRH signaling pathway,MAP2K7
GnRH signaling pathway,NRAS
"Growth hormone synthesis, secretion and action",CACNA1D
"Growth hormone synthesis, secretion and action",CREBBP
"Growth hormone synthesis, secretion and action",EP300
"Growth hormone synthesis, secretion and action",IRS4
"Growth hormone synthesis, secretion and action",KRAS
"Growth hormone synthesis, secretion and action",MAP2K1
"Growth hormone synthesis, secretion and action",MAP2K4
"Growth hormone synthesis, secretion and action",NRAS
"Growth hormone synthesis, secretion and action",PIK3CA
"Growth hormone synthesis, secretion and action",PIK3CB
"Growth hormone synthesis, secretion and action",PIK3R1
"Growth hormone synthesis, secretion and action",STAT3
"Growth hormone synthesis, secretion and action",STAT5B
HIF-1 signaling pathway,CREBBP
HIF-1 signaling pathway,EGFR
HIF-1 signaling pathway,EP300
HIF-1 signaling pathway,ERBB2
HIF-1 signaling pathway,MAP2K1
HIF-1 signaling pathway,PIK3CA
HIF-1 signaling pathway,PIK3CB
HIF-1 signaling pathway,PIK3R1
HIF-1 signaling pathway,STAT3
HIF-1 signaling pathway,VHL
Hedgehog signaling pathway,PTCH1
Hematopoietic cell lineage,CR1
Hepatitis B,BAX
Hepatitis B,BRAF
Hepatitis B,CASP8
Hepatitis B,CREBBP
Hepatitis B,DDX3X
Hepatitis B,EP300
Hepatitis B,HSPG2
Hepatitis B,JAK1
Hepatitis B,JAK3
Hepatitis B,KRAS
Hepatitis B,MAP2K1
Hepatitis B,MAP2K4
Hepatitis B,MAP2K7
Hepatitis B,MYC
Hepatitis B,NRAS
Hepatitis B,PIK3CA
Hepatitis B,PIK3CB
Hepatitis B,PIK3R1
Hepatitis B,RB1
Hepatitis B,SMAD4
Hepatitis B,STAT3
Hepatitis B,STAT5B
Hepatitis B,TGFBR2
Hepatitis B,TP53
Hepatitis C,BAX
Hepatitis C,BRAF
Hepatitis C,CASP8
Hepatitis C,CTNNB1
Hepatitis C,EGFR
Hepatitis C,JAK1
Hepatitis C,KRAS
Hepatitis C,MAP2K1
Hepatitis C,MYC
Hepatitis C,NRAS
Hepatitis C,PIK3CA
Hepatitis C,PIK3CB
Hepatitis C,PIK3R1
Hepatitis C,RB1
Hepatitis C,STAT3
Hepatitis C,TP53
Hippo signaling pathway,AJUBA
Hippo signaling pathway,APC
Hippo signaling pathway,AXIN1
Hippo signaling pathway,AXIN2
Hippo signaling pathway,BMPR2
Hippo signaling pathway,CDH1
Hippo signaling pathway,CTNNB1
Hippo signaling pathway,FAT4
Hippo signaling pathway,LATS1
Hippo signaling pathway,LATS2
Hippo signaling pathway,MYC
Hippo signaling pathway,NF2
Hippo signaling pathway,SMAD4
Hippo signaling pathway,TGFBR2
Homologous recombination,ATM
Homologous recombination,BRCA1
Homologous recombination,BRCA2
Homologous recombination,BRIP1
Homologous recombination,NBN
Homologous recombination,POLD1
IL-17 signaling pathway,CASP8
